Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaIA;RespuestaApp;RespuestaUGT;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Estado;Acción;Explicación_app
Común A2 / Técnico;78;tec-comun-t05_13;"Según el Artículo 8.m del Decreto 100/2018 de las OSI de Osakidetza, ¿a qué dirección corresponde ""orientar la gestión desde una visión integradora empoderando la atención primaria""?";Dirección de Atención Integrada.;Dirección Gerencia.;Dirección de Enfermería.;Dirección Económico-Financiera.;A;A;B;A;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 8.m Decreto 100/2018: la función de orientar la gestión desde una visión integradora empoderando la atención primaria corresponde a la Dirección de Atención Integrada.
Común A2 / Técnico;101;tec-comun-t09_5;Según dispone la Ley 7/2002, de 12 de diciembre, de las voluntades anticipadas, el documento de voluntades anticipadas:;"Se formaliza ante notaría; ante funcionaria/o encargada/o del Registro Vasco de Voluntades Anticipadas; o ante dos testigos.";"Se formaliza ante notaría; ante funcionaria/o encargada/o del Registro Vasco de Voluntades Anticipadas; o ante tres testigos.";"Se formaliza ante notaría; ante funcionaria/o encargada/o del Registro Vasco de Voluntades Anticipadas o del servicio de documentación de un centro sanitario de la CAPV; o ante dos testigos.";"Se formaliza ante notaría; ante funcionaria/o encargada/o del Registro Vasco de Voluntades Anticipadas o del servicio de documentación de un centro sanitario de la CAPV; o ante tres testigos.";C;C;B;C;B;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 3 Ley 7/2002: El DVA puede ser revocado en cualquier momento sin necesidad de respetar ninguna formalidad especial, basta con manifestar la voluntad de forma fehaciente. La última voluntad expresada prevalece sobre la anterior. Respuesta D.
Administrativo (específico);190;adm-prl-prevencion-riesgos_13;Según la Ley 31/1995, la vigilancia de la salud de los trabajadores se realizará:;Siempre con carácter obligatorio.;Únicamente a solicitud del trabajador.;En función de los riesgos inherentes al trabajo.;Exclusivamente tras un accidente laboral.;B;B;C;B;C;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 22.1 Ley 31/1995: 'El empresario garantizará a los trabajadores a su servicio la vigilancia periódica de su estado de salud EN FUNCIÓN DE LOS RIESGOS INHERENTES AL TRABAJO.' Con carácter VOLUNTARIO para el trabajador (salvo excepciones). No es siempre obligatoria (a), ni solo a solicitud (b), ni solo tras accidente (d). Respuesta B.
Auxiliar Administrativo (específico);34;aux-e11_16;Una vez obtenida la segunda opinión médica si el segundo diagnóstico no es confirmatorio del primero, la atención sanitaria se llevará a cabo:;En el centro sanitario donde se emitió la segunda opinión médica.;En cualquier centro sanitario.;En el centro sanitario de origen.;Todas las anteriores respuestas son correctas.;D;B;A;B;A;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Diagnóstico NO confirmatorio -> libertad de elección de centro.
Auxiliar Administrativo (específico);113;aux-e08_13;El personal incluido en el ámbito del Acuerdo regulador de las condiciones de trabajo del personal de Osakidetza-Servicio vasco de salud, para los años 2007, 2008 y 2009, deberá solicitar las licencias mediante escrito dirigido a:;La Dirección de Recursos Humanos de la Organización de servicios correspondiente.;La Dirección de la Organización de servicios correspondiente.;A la persona responsable de la Unidad solicitante.;La Dirección-Gerencia de la Organización de servicios.;D;D;A;D;A;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;D.235/2007 (solicitud de licencias): Las licencias se solicitarán mediante escrito dirigido a LA DIRECCIÓN-GERENCIA DE LA ORGANIZACIÓN DE SERVICIOS correspondiente. No a la Dirección de RRHH (a) ni al responsable de unidad (c). Respuesta D.
Auxiliar Administrativo (específico);114;aux-e08_14;Según el Decreto 235/2007 es un motivo para la concesión de permisos:;Lactancia.;Traslado o mudanza del domicilio habitual.;Violencia de género.;Ejercicio de funciones de representación sindical.;B;B;C;B;C;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;D.235/2007 (permisos): Es un motivo para la concesión de PERMISOS (de carácter breve) el TRASLADO O MUDANZA DEL DOMICILIO HABITUAL (1 día laboral). La lactancia y la violencia de género se encuadran en categorías distintas. Respuesta B.
Auxiliar Administrativo (específico);116;aux-e08_16;La licencia por enfermedad grave, hospitalización o fallecimiento de parientes, en el caso de tratarse del cónyuge, compañero/a o hijo/a contiene el siguiente periodo de duración.;Dos días hábiles. Dos días hábiles más si los hechos que lo motivan se producen a más de 110 kms. del lugar de residencia del solicitante.;Cuatro días naturales. Dos días hábiles más si los hechos que lo motivan se producen a más de 130 kms. del lugar de residencia del solicitante.;Tres días hábiles. Dos días hábiles más si los hechos que lo motivan se producen a más de 120 kms. del lugar de residencia del solicitante.;Cinco días naturales. Dos días hábiles más si los hechos que lo motivan se producen a más de 150 kms. del lugar de residencia del solicitante.;D;A;C;A;C;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;D.235/2007 (licencia enfermedad/hospitalización/fallecimiento familiar): Para cónyuge, compañero/a o hijo/a: CINCO DÍAS NATURALES. DOS DÍAS HÁBILES MÁS si los hechos se producen a más de 150 KM del lugar de residencia del solicitante. Respuesta D.
Auxiliar Administrativo (específico);126;aux-e07_6;El Consejo de Administración del Ente Público Osakidetza-Servicio Vasco de Salud, nombrará entre sus miembros a un Secretario que:;Podrá no ser miembro del Consejo.;Tendrá voto en los asuntos que se deliberen.;Sustituirá al Vicepresidente en caso de enfermedad.;Convocará las sesiones del Consejo de Administración.;B;B;A;B;A;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Decreto 255/1997, art. 16: El Vicepresidente/a del Consejo de Administración tendrá la función de sustituir al Presidente en caso de vacante, ausencia o enfermedad, y ejercer las funciones que el Presidente le delegue. La A es correcta. Respuesta B.
Auxiliar Administrativo (específico);127;aux-e07_7;La Dirección General del Ente Público Osakidetza-Servicio Vasco de Salud contará con el apoyo de un equipo directivo formado por:;Dos Directores de División.;Tres Directores de División.;Cuatro Directores de División.;Cinco Directores de División.;C;C;B;C;B;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Decreto 255/1997, art. 24: El Comité de Dirección de la Dirección General de Osakidetza estará integrado por un máximo de 10 miembros, nombrados por el Director/a General. La C es la respuesta correcta. Respuesta C.
Auxiliar Administrativo (específico);155;aux-e02_25;Según la Ley 39/2015, el derecho a ser asistido en el uso de medios electrónicos corresponde:;A todas las personas en sus relaciones con las Administraciones Públicas.;Únicamente a las personas que no estén obligadas a relacionarse electrónicamente.;Solo a quienes actúen mediante representante.;Exclusivamente a las personas mayores de edad.;B;B;A;B;A;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Art. 13.b Ley 39/2015: El derecho a ser asistido en el uso de medios electrónicos corresponde A TODAS LAS PERSONAS en sus relaciones con las Administraciones Públicas. Respuesta B.
Técnico Superior Administrativo (específico);13;tec-t02_5;De acuerdo con la Ley Orgánica 3/1979, de 18 de diciembre, del Estatuto de Autonomía para el País Vasco, indíquese la afirmación correcta:;El Estatuto de Autonomía del País Vasco reconoce el derecho de Navarra a formar parte de la Comunidad Autónoma del País Vasco de acuerdo con el procedimiento establecido en el mismo.;El Estatuto de Autonomía del País Vasco reconoce el derecho a formar parte de la Comunidad Autónoma Vasca a las provincias de Álava, Gipuzkoa y Bizkaia, no así a Navarra.;La Disposición Transitoria 4ª de la Constitución Española establece el procedimiento para la incorporación de Navarra a la Comunidad Autónoma del País Vasco, para el supuesto de que aquella decidiera dicha incorporación.;El Estatuto de Autonomía del País Vasco no hace mención del derecho de Navarra a formar parte de la Comunidad Autónoma Vasca.;C;C;A;C;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;La DT 4ª CE prevé el procedimiento por el que Navarra podría incorporarse al País Vasco si así lo decidiesen sus órganos forales y lo ratificase el pueblo navarro.
Técnico Superior Administrativo (específico);37;tec-t03_7;¿Cuál de las siguientes respuestas en relación con la potestad del Gobierno Vasco de dictar Decretos-Legislativos es correcta?;El Parlamento Vasco podrá delegar en el Gobierno la potestad de dictar normas con rango de Ley, denominadas Decretos-Legislativos, si bien sólo en caso de extraordinaria y urgente necesidad.;La delegación legislativa deberá acordarse mediante una Ley ordinaria cuando su objeto sea la elaboración de textos articulados o por una Ley de Bases cuando se trate de refundir varios textos legales en uno solo.;El Parlamento Vasco podrá delegar en el Gobierno la potestad de dictar Decretos-Legislativos que afecten al desarrollo de los derechos fundamentales y de las libertades públicas.;El Parlamento Vasco no podrá delegar en el Gobierno la potestad de dictar Decretos-Legislativos que afecten al ordenamiento básico del Gobierno o al régimen jurídico de la Administración del País Vasco.;D;D;A;D;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Ley 7/1981: la delegación legislativa no puede afectar al ordenamiento básico del Gobierno ni al régimen jurídico de la Administración vasca. Los Decretos-Ley son para situaciones de urgencia, no los Decretos-Legislativos.
Técnico Superior Administrativo (específico);44;tec-t03_14;Teniendo en cuenta la estructura general del Departamento de Salud del Gobierno Vasco, indíquese cuál de las siguientes direcciones NO se encuentra dentro de la Viceconsejería de Salud:;Dirección de Investigación, Innovación y Evaluación sanitarias.;Dirección de Salud Pública y Adicciones.;Dirección de Farmacia.;Dirección de Transformación, Planificación y Digitalización en Salud.;C;C;D;C;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Decreto 319/2024: la Dirección de Farmacia depende de la Viceconsejería de Administración y Financiación Sanitarias, no de la Viceconsejería de Salud.
Técnico Superior Administrativo (específico);149;tec-t05_49;Conforme al Acuerdo de regulación de condiciones de trabajo del personal de Osakidetza, los servicios de localización:;Se compensarán con un 35% del importe fijado para las guardias de presencia física, con obligación de acudir al centro cuando se fuera requerido.;Se compensarán con un 20% del importe fijado para las guardias de presencia física, con obligación de acudir al centro cuando se fuera requerido.;Se compensarán con un 50% del importe fijado para las guardias de presencia física, con obligación de acudir al centro cuando se fuera requerido.;Se compensarán con un 25% del importe fijado para las guardias de presencia física, con obligación de acudir al centro cuando se fuera requerido.;D;D;C;D;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Acuerdo regulador Osakidetza (Decreto 235/2007): los servicios de localización se compensarán con un 25% del importe establecido para las guardias de presencia física, con obligación de acudir al centro cuando se requiera.
Técnico Superior Administrativo (específico);493;tec-casos-practicos_13;[ENUNCIADO: La responsable económica financiera de una entidad sanitaria tiene que realizar un informe para poder analizar la situación económico-financiera de la entidad. Para tal menester decide realizar una se...] Calcular el apalancamiento operativo teniendo en cuenta los siguientes datos, y ELIJA LA AFIRMACIÓN CORRECTA • Costes fijos: 100.000€ • Coste fijo unitario: 3,33€ • Coste variable unitario: 30€ • Precio unitario del servicio: 35€ • Servicios vendidos: 30.000 unidades;Apalancamiento operativo es: 1,5.;Apalancamiento operativo es: 3.;Apalancamiento operativo es: -1,004.;Todas las respuestas son incorrectas.;?;B;D;B;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Apalancamiento operativo = Margen de contribución / BAII. Margen contribución = (35 - 30) × 30.000 = 150.000€. BAII = 150.000 - 100.000 (costes fijos) = 50.000€. Ao = 150.000 / 50.000 = 3. Indica que un 1% de variación en ventas provoca un 3% de variación en el BAII.
Técnico Superior Administrativo (específico);498;tec-casos-practicos_18;La rentabilidad financiera (RF o ROE), utilizando el resultado antes de impuestos, es:;25,20 %;27,00 %;10,50 %;30,75 %;?;A;B;A;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Rentabilidad Financiera (RF) usando resultado antes de impuestos = EBT / PN = (11.340.000 + 6.300.000) / 70.000.000 = 17.640.000 / 70.000.000 = 0,252 = 25,20%. Mide el rendimiento obtenido por los accionistas sobre los recursos propios antes del impacto fiscal.
Técnico Superior Administrativo (específico);499;tec-casos-practicos_19;[ENUNCIADO: La empresa LUMIER, S.A., dedicada a la fabricación de equipamiento óptico, presenta a 31/12/2025 los siguientes datos contables (en euros): • Activo Corriente: 62.480.000€ • Pasivo Corriente: 45.360.0...] La ratio de endeudamiento de LUMIER, S.A. es:;1,00;0,85;1,22;0,57;?;C;B;C;?;No;🟠 Kaixo vs UGT — revisión manual;REVISIÓN MANUAL: Kaixo y UGT discrepan — consultar texto legal;Ratio de endeudamiento = Pasivo Total / Patrimonio Neto = (PNC + PC) / PN = (40.000.000 + 45.360.000) / 70.000.000 = 85.360.000 / 70.000.000 = 1,22. Un ratio > 1 indica que LUMIER tiene más deuda que recursos propios, lo que implica mayor dependencia de financiación ajena.
