Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaIA;RespuestaApp;RespuestaUGT;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Confianza;Estado;Acción;Explicación_app
Común A2 / Técnico;24;tec-comun-t03_4;La pérdida de la condición de personal estatutario regulada en la Ley 55/2003, de 16 de diciembre, del Estatuto Marco, se produce:;Siempre en caso de pena de inhabilitación especial para empleo o cargo público, afecte o no al correspondiente nombramiento.;En caso de que se adopte la pena de inhabilitación absoluta sea firme o no.;En caso de que se adopte la pena de inhabilitación especial para la correspondiente profesión, siempre que esta exceda de seis años.;En caso de que se adopte la pena de inhabilitación especial para la correspondiente profesión, siempre que esta exceda de tres años.;D;C;C;B;C;No;41.0%;Estable (IA);SPOT-CHECK: App=UGT pero otra academia discrepa;"Art. 26.1.e) Ley 55/2003: la pérdida de condición se produce por pena de inhabilitación especial para la profesión cuando excede de tres años (o absoluta firme, sin plazo).
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;30;tec-comun-t03_10;En el supuesto del personal estatutario de los servicios de salud:;El período de localización es aquel período de tiempo en el que el personal se encuentra únicamente en situación de disponibilidad.;Se considera período de descanso todo período de tiempo que no sea tiempo de trabajo.;El trabajo por turnos es una forma de organización del trabajo en equipo con arreglo al ritmo rotatorio y siempre de tipo continuo.;El período de localización es aquel período de tiempo en el que el personal se encuentra en situación de disponibilidad a los solos efectos de asegurar su posible localización.;D;D;B;D;C;No;25.8%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;Art. 49 Ley 55/2003: período de localización = período de disponibilidad a los solos efectos de asegurar la posible localización del profesional. No constituye tiempo de trabajo efectivo.
Común A2 / Técnico;52;tec-comun-t04_17;La función de nombrar y separar a quienes ocupen las Direcciones de División de la organización central del ente público corresponde a:;El Consejo de Administración del Ente.;La Dirección General del Ente.;La Presidencia del Ente.;Ninguno de los anteriores.;B;B;A;B;C;No;25.8%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;Decreto 255/1997, art. 22: El nombramiento y separación de los Directores de División de la organización central de Osakidetza es competencia del Consejo de Administración, a propuesta del Director General. La app indica C (Director General) pero la competencia recae en el Consejo de Administración. Respuesta B.
Común A2 / Técnico;53;tec-comun-t04_18;La composición del Consejo del ente público Osakidetza-Servicio Vasco de Salud contará, además de la persona que ejerza la Presidencia:;Con cinco integrantes: uno a propuesta de Hacienda y Administración Pública, otro a propuesta de Bienestar Social y tres a propuesta de la persona titular de Sanidad.;Con cinco integrantes: uno a propuesta de Hacienda y Administración Pública, otro a propuesta de la Consejería de Presidencia y tres a propuesta de la persona titular de Sanidad.;Con cinco integrantes: dos a propuesta de Hacienda y Administración Pública y tres a propuesta de la persona titular de Sanidad.;Ninguna de los anteriores.;A;A;C;A;A;No;55.2%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;Art. 30 Ley 8/1997: el Consejo de Administración de Osakidetza incluye 5 miembros: 1 de Hacienda y AP, 1 de Bienestar Social y 3 del Departamento de Sanidad.
Común A2 / Técnico;65;tec-comun-t04_30;En el ámbito de una organización de servicios sanitarios del ente público Osakidetza, presidir los Consejos Técnicos de participación profesional y promover su eficaz funcionamiento es una tarea que corresponde a:;La Dirección General del Ente.;Quien ostente la titularidad de la Dirección-Gerencia del Ente.;La Dirección Médica del Ente.;Ninguna de las anteriores.;B;B;C;B;B;No;55.2%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;La Dirección-Gerencia de cada organización de servicios preside los Consejos Técnicos de participación profesional y promueve su eficaz funcionamiento.
Común A2 / Técnico;72;tec-comun-t05_7;Según el Artículo 5 del Decreto 100/2018 de las OSI de Osakidetza, ¿cuáles son los tres órganos de participación que conforman la estructura organizativa de las OSI?;El Consejo de Dirección, el Comité Ejecutivo y el Comité de Ética Asistencial.;El Consejo Clínico Asistencial, el Consejo Social y la Comisión Sociosanitaria.;La Comisión de Seguridad, la Comisión de Docencia y la Comisión de Investigación.;El Consejo de Dirección, el Consejo Social y el Comité de Evaluación.;B;B;B;A;?;No;64.3%;Estable (IA);SPOT-CHECK: App=UGT pero otra academia discrepa;"Art. 5 Decreto 100/2018: los tres órganos de participación de las OSI son el Consejo Clínico Asistencial, el Consejo Social y la Comisión Sociosanitaria.
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;78;tec-comun-t05_13;"Según el Artículo 8.m del Decreto 100/2018 de las OSI de Osakidetza, ¿a qué dirección corresponde ""orientar la gestión desde una visión integradora empoderando la atención primaria""?";Dirección de Atención Integrada.;Dirección Gerencia.;Dirección de Enfermería.;Dirección Económico-Financiera.;A;A;B;A;?;No;36.3%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;Art. 8.m Decreto 100/2018: la función de orientar la gestión desde una visión integradora empoderando la atención primaria corresponde a la Dirección de Atención Integrada.
Común A2 / Técnico;87;tec-comun-t06_7;Según el Decreto 147/2015, de 21 de julio, los Servicios de Atención a Pacientes y personas Usuarias:;Estarán disponibles en las Organizaciones de Servicios Sanitarios de Osakidetza, los centros sanitarios concertados, los centros privados y el departamento competente en materia de sanidad.;Estarán disponibles en las Organizaciones de Servicios Sanitarios de Osakidetza, los centros sanitarios concertados y el departamento competente en materia de sanidad, pero no existe previsión en relación con los centros privados.;Estarán disponibles en las Organizaciones de Servicios Sanitarios de Osakidetza, pero no existe previsión en relación con los centros concertados, ni con los privados ni con el departamento competente.;Estarán disponibles en las Organizaciones de Servicios Sanitarios de Osakidetza y en los centros sanitarios concertados y privados, pero no existe previsión en relación con el departamento competente.;C;B;B;A;?;No;22.1%;Estable (IA);SPOT-CHECK: App=UGT pero otra academia discrepa;Decreto 147/2015: los Servicios de Atención a Pacientes estarán en Osakidetza, centros concertados, privados y el departamento competente en sanidad.
Común A2 / Técnico;95;tec-comun-t08_7;Según dispone la Ley 41/2002, de 14 de noviembre, básica reguladora de la autonomía del paciente, el personal facultativo proporcionará a la persona paciente, antes de recabar su consentimiento escrito, la información básica siguiente:;Todos los riesgos en condiciones normales, conforme a la experiencia y al estado de la ciencia o directamente relacionados con el tipo de intervención.;Todos los riesgos, siempre que sean graves, en condiciones normales, conforme a la experiencia y al estado de la ciencia o directamente relacionados con el tipo de intervención.;Todos los riesgos probables en condiciones normales, conforme a la experiencia y al estado de la ciencia o directamente relacionados con el tipo de intervención.;Todos los riesgos, siempre que sean probables y graves, en condiciones normales.;C;C;C;D;C;No;73.8%;Estable (IA);SPOT-CHECK: App=UGT pero otra academia discrepa;Art. 10.1.b) Ley 41/2002: la información previa al consentimiento escrito incluye los riesgos probables en condiciones normales, conforme a la experiencia y al estado de la ciencia.
Común A2 / Técnico;96;tec-comun-t08_8;Según dispone la Ley 41/2002, de 14 de noviembre, básica reguladora de la autonomía del paciente, en caso de que la persona paciente no acepte el alta:;El personal facultativo, previa comprobación del informe clínico, oirá a la persona paciente y, si persiste en su negativa, lo pondrá en conocimiento de la dirección del centro para que confirme o revoque la decisión.;El personal facultativo, previa comprobación del informe clínico, oirá a la persona paciente y, si persiste en su negativa, lo pondrá en conocimiento de la autoridad judicial para que confirme o revoque la decisión.;La dirección del centro, previa comprobación del informe clínico, oirá a la persona paciente y, si persiste en su negativa, lo pondrá en conocimiento de la autoridad judicial para que confirme o revoque la decisión.;La dirección del centro, previa comprobación del informe clínico, oirá a la persona paciente y, si persiste en su negativa, lo pondrá en conocimiento de la autoridad administrativa competente.;C;C;C;A;C;No;73.8%;Estable (IA);SPOT-CHECK: App=UGT pero otra academia discrepa;Art. 21.2 Ley 41/2002: si el paciente no acepta el alta, la dirección del centro (no el facultativo), previa comprobación del informe clínico, le oirá y si persiste lo comunicará a la autoridad judicial.
Común A2 / Técnico;99;tec-comun-t09_3;Según la Ley 7/2002, de 12 de diciembre, de las voluntades anticipadas, si el nombramiento de representante en el documento de instrucciones previas ha recaído en favor de la persona cónyuge o pareja de hecho de la persona otorgante:;Se extingue a partir, bien de la interposición de la demanda de nulidad, separación matrimonial o divorcio, bien de la extinción formalizada de la pareja de hecho o unión libre. Para el mantenimiento de la designación será necesario, en caso de nulidad, separación matrimonial o divorcio, que conste expresamente en la resolución judicial dictada al efecto.;Se extingue a partir bien de la nulidad, separación matrimonial o divorcio, bien de la extinción formalizada de la pareja de hecho o unión libre. Para el mantenimiento será necesario que conste en la resolución judicial.;Se extingue a partir, bien de la interposición de la demanda de nulidad, separación matrimonial o divorcio, bien de la extinción formalizada de la pareja de hecho. Para el mantenimiento será necesario que conste en el documento de instrucciones previas.;Se extingue bien a partir de la nulidad, separación matrimonial o divorcio, bien de la extinción formalizada de la pareja de hecho. Para el mantenimiento será necesario que conste en el documento de instrucciones previas.;D;D;A;D;D;No;55.2%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;"Art. 3 bis Ley 7/2002: el nombramiento de representante en favor de cónyuge o pareja de hecho se extingue desde la interposición de la demanda (no desde la sentencia) de nulidad/separación/divorcio, o desde la extinción formalizada de la pareja. Para mantenerlo hay que hacerlo constar en resolución judicial.
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;131;tec-comun-t12_11;Según la comparativa de la Memoria Económica del Plan de Salud Euskadi 2030, ¿cuál es el programa presupuestario (fuera del gasto general de Osakidetza) con mayor dotación?;Programa de Salud Pública.;Programa de Farmacia.;Programa de Adicciones.;Programa de Investigación y Planificación.;B;B;B;A;C;No;47.2%;Estable (IA);SPOT-CHECK: App=UGT pero otra academia discrepa;Plan de Salud Euskadi 2030, Memoria Económica: El programa presupuestario con mayor dotación es el de Atención Especializada / Hospitales. La B es la respuesta correcta. Respuesta B.
Común A2 / Técnico;140;tec-comun-t13_5;El Diagnostico del Pacto Vasco de Salud de Euskadi propone que los indicadores sanitarios para evaluar el sistema deben:;Basarse exclusivamente en mediciones de actividad (numero de consultas y cirugias).;Ser confidenciales y accesibles unicamente para la alta direccion del Departamento de Salud.;Ignorar la perspectiva de genero para simplificar la toma de datos estadisticos.;Reflejar resultados en salud y sostenibilidad, y no solo volumen de actividad.;D;D;D;B;D;No;73.8%;Estable (IA);SPOT-CHECK: App=UGT pero otra academia discrepa;El Diagnostico propone orientar los indicadores hacia resultados en salud y sostenibilidad del sistema, superando la vision centrada unicamente en volumen de actividad asistencial.
Común A2 / Técnico;175;tec-comun-t15_15;En atencion a lo previsto en el III Plan de Normalizacion del Uso del Euskera en Osakidetza 2022-2028, en todos los centros de atencion primaria ha de ponerse en marcha un procedimiento para proponer servicios en euskera. ¿A que servicios se refiere?;Medicina familiar, pediatria, enfermeria y salud mental.;Pediatria, medicina familiar y salud mental.;Medicina familiar, pediatria, enfermeria y matrona.;Todas las anteriores respuestas son correctas.;D;D;C;D;D;No;55.2%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;"El III Plan especifica que el procedimiento de oferta de servicios en euskera en atencion primaria se refiere a: medicina familiar, pediatria, enfermeria y matrona.
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;187;tec-comun-t16_3;Segun la LO 3/2021, de regulacion de la eutanasia, que concepto define la ley como la administracion directa a la persona paciente de una sustancia por parte del personal sanitario competente?;Suicidio medicamente asistido.;Sedacion paliativa profunda.;Eutanasia.;Asistencia para morir.;C;C;D;C;C;No;55.2%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;El Art. 3.b) LO 3/2021 define la eutanasia como la administracion directa al paciente de una sustancia por parte del personal sanitario competente que provoca su muerte de forma directa e intencionada.
Común A2 / Técnico;192;tec-comun-t16_8;Segun la LO 3/2021, de regulacion de la eutanasia, cual es el plazo que tiene la persona facultativa responsable para comunicar la resolucion favorable a la Comision de Garantia y Evaluacion para su posterior verificacion?;Dentro de las 24 horas siguientes a la resolucion.;Dentro del dia siguiente natural a la resolucion.;7 dias desde la resolucion favorable.;No existe un plazo establecido para esta comunicacion.;B;B;A;B;D;No;25.8%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;El Art. 10.3 LO 3/2021 establece que el medico responsable debe comunicar la resolucion favorable a la Comision de Garantia y Evaluacion dentro del dia siguiente natural a dicha resolucion.
Administrativo (específico);152;adm-protocolo-acoso-sexual-osaki_6;Según el Protocolo frente al acoso sexual y por razón de sexo en Osakidetza, el protocolo se aplicará:;A todo el personal estatutario fijo de Osakidetza.;A todo el personal adscrito a los centros sanitarios.;A todo el personal adscrito a Osakidetza, incluido personal directivo.;A todo el personal adscrito a Osakidetza, incluido personal directivo, en formación y empresas externas.;D;D;C;D;D;No;55.2%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;Protocolo Acoso Sexual Osakidetza 2024 (ámbito de aplicación): El protocolo se aplica a TODO EL PERSONAL ADSCRITO A OSAKIDETZA, INCLUIDO PERSONAL DIRECTIVO, EN FORMACIÓN (residentes, estudiantes de prácticas) Y PERSONAL DE EMPRESAS EXTERNAS que presten servicios en centros de Osakidetza. Es el ámbito más amplio posible. Respuesta D.
Auxiliar Administrativo (específico);1;aux-e01_1;Tienen derecho a formar parte de la Comunidad Autónoma del País Vasco:;Guipúzcoa y Vizcaya.;Álava, Guipúzcoa y Vizcaya.;Álava, Guipúzcoa, Vizcaya y Navarra.;Álava y Vizcaya.;C;C;B;C;C;No;55.2%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;LO 3/1979 Art. 2: Tienen derecho a formar parte de la CAPV los Territorios Históricos de ÁLAVA, GUIPÚZCOA Y VIZCAYA. Navarra (opción c) no forma parte de la CAPV, aunque tiene su propio régimen foral. Respuesta C.
Auxiliar Administrativo (específico);82;aux-e05_15;Las Administraciones Públicas podrán identificarse mediante el uso de:;Sellos electrónicos.;Códigos de verificación.;Claves de internet.;a) b) y c) son correctas.;A;A;D;A;A;No;55.2%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;Art. 40.2 Ley 40/2015: Las Administraciones Públicas podrán identificarse mediante el uso de SELLOS ELECTRÓNICOS basados en certificados de sello electrónico. Este es el mecanismo primario de identificación institucional previsto en la Ley. Respuesta A.
Auxiliar Administrativo (específico);85;aux-e06_3;Entre los fundamentos de acción del Estatuto Básico del Empleado Público se encuentra:;Innovación y mejora continua de los servicios.;Ética profesional y buenas prácticas de los empleados públicos.;Transparencia.;Sostenibilidad ambiental y reducción del impacto en los servicios públicos.;C;C;B;C;C;No;55.2%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;Art. 52 y 53 RDL 5/2015 EBEP: Entre los principios y fundamentos de actuación de los empleados públicos se incluye la TRANSPARENCIA. La EBEP establece la transparencia como principio rector de la conducta de los empleados públicos (Art. 53.4). Respuesta C.
Auxiliar Administrativo (específico);110;aux-e08_10;En el Decreto 235/2007 quedan expresamente excluidos del ámbito personal de aplicación del Acuerdo regulador de las condiciones de trabajo del personal de Osakidetza-Servicio vasco de salud, para los años 2007, 2008 y 2009:;El personal estatutario fijo.;El personal sanitario local APD.;El personal funcionario de carrera.;El personal con relación de empleo funcionarial de carácter interino.;B;B;C;B;B;No;55.2%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;D.235/2007 Art. 3 (ámbito personal): Quedan expresamente excluidos del Acuerdo regulador EL PERSONAL SANITARIO LOCAL APD (personal de centros y servicios sanitarios locales de atención primaria dependiente de entidades locales). Respuesta B.
Auxiliar Administrativo (específico);122;aux-e02_4;Cuando no se encuentre determinada expresamente la forma de publicidad de los actos administrativos que se dicten en el Ente Público Osakidetza-Servicio vasco de salud, de carácter general serán objeto de notificación a través:;Del Boletín Oficial del País Vasco.;Del Boletín Oficial del Estado.;De los Tablones de Anuncios de las organizaciones el Ente Público.;Del Portal de Internet del Ente Público.;C;C;A;C;C;No;55.2%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;Normativa específica Osakidetza: Cuando no se encuentre determinada la forma de publicidad de los actos de carácter general, estos serán objeto de notificación a través DE LOS TABLONES DE ANUNCIOS DE LAS ORGANIZACIONES DEL ENTE PÚBLICO. Respuesta C.
Auxiliar Administrativo (específico);139;aux-e02_9;Según la Ley 39/2015, en relación con la identificación y firma de los interesados:;La firma será siempre obligatoria para formular solicitudes.;La identificación podrá realizarse mediante sistemas de firma electrónica.;Solo se exigirá firma cuando sea necesario acreditar la voluntad y consentimiento.;La identificación y la firma son siempre requisitos inseparables.;C;C;B;C;C;No;55.2%;UGT Outlier (Protegido);SPOT-CHECK: App=UGT pero otra academia discrepa;Art. 9.2 Ley 39/2015: Solo se exigirá firma CUANDO SEA NECESARIO ACREDITAR LA VOLUNTAD Y CONSENTIMIENTO del interesado. La identificación y la firma son requisitos separables (d es FALSO). Respuesta C.
