Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaIA;RespuestaApp;RespuestaUGT;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Estado;Acción;Explicación_app
Común A2 / Técnico;175;tec-comun-t15_15;En atencion a lo previsto en el III Plan de Normalizacion del Uso del Euskera en Osakidetza 2022-2028, en todos los centros de atencion primaria ha de ponerse en marcha un procedimiento para proponer servicios en euskera. ¿A que servicios se refiere?;Medicina familiar, pediatria, enfermeria y salud mental.;Pediatria, medicina familiar y salud mental.;Medicina familiar, pediatria, enfermeria y matrona.;Todas las anteriores respuestas son correctas.;D;D;C;D;D;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";"El III Plan especifica que el procedimiento de oferta de servicios en euskera en atencion primaria se refiere a: medicina familiar, pediatria, enfermeria y matrona.
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;187;tec-comun-t16_3;Segun la LO 3/2021, de regulacion de la eutanasia, que concepto define la ley como la administracion directa a la persona paciente de una sustancia por parte del personal sanitario competente?;Suicidio medicamente asistido.;Sedacion paliativa profunda.;Eutanasia.;Asistencia para morir.;C;C;D;C;C;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";El Art. 3.b) LO 3/2021 define la eutanasia como la administracion directa al paciente de una sustancia por parte del personal sanitario competente que provoca su muerte de forma directa e intencionada.
Administrativo (específico);152;adm-protocolo-acoso-sexual-osaki_6;Según el Protocolo frente al acoso sexual y por razón de sexo en Osakidetza, el protocolo se aplicará:;A todo el personal estatutario fijo de Osakidetza.;A todo el personal adscrito a los centros sanitarios.;A todo el personal adscrito a Osakidetza, incluido personal directivo.;A todo el personal adscrito a Osakidetza, incluido personal directivo, en formación y empresas externas.;D;D;C;D;D;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Protocolo Acoso Sexual Osakidetza 2024 (ámbito de aplicación): El protocolo se aplica a TODO EL PERSONAL ADSCRITO A OSAKIDETZA, INCLUIDO PERSONAL DIRECTIVO, EN FORMACIÓN (residentes, estudiantes de prácticas) Y PERSONAL DE EMPRESAS EXTERNAS que presten servicios en centros de Osakidetza. Es el ámbito más amplio posible. Respuesta D.
Auxiliar Administrativo (específico);1;aux-e01_1;Tienen derecho a formar parte de la Comunidad Autónoma del País Vasco:;Guipúzcoa y Vizcaya.;Álava, Guipúzcoa y Vizcaya.;Álava, Guipúzcoa, Vizcaya y Navarra.;Álava y Vizcaya.;C;C;B;C;C;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";LO 3/1979 Art. 2: Tienen derecho a formar parte de la CAPV los Territorios Históricos de ÁLAVA, GUIPÚZCOA Y VIZCAYA. Navarra (opción c) no forma parte de la CAPV, aunque tiene su propio régimen foral. Respuesta C.
Auxiliar Administrativo (específico);82;aux-e05_15;Las Administraciones Públicas podrán identificarse mediante el uso de:;Sellos electrónicos.;Códigos de verificación.;Claves de internet.;a) b) y c) son correctas.;A;A;D;A;A;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Art. 40.2 Ley 40/2015: Las Administraciones Públicas podrán identificarse mediante el uso de SELLOS ELECTRÓNICOS basados en certificados de sello electrónico. Este es el mecanismo primario de identificación institucional previsto en la Ley. Respuesta A.
Auxiliar Administrativo (específico);85;aux-e06_3;Entre los fundamentos de acción del Estatuto Básico del Empleado Público se encuentra:;Innovación y mejora continua de los servicios.;Ética profesional y buenas prácticas de los empleados públicos.;Transparencia.;Sostenibilidad ambiental y reducción del impacto en los servicios públicos.;C;C;B;C;C;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Art. 52 y 53 RDL 5/2015 EBEP: Entre los principios y fundamentos de actuación de los empleados públicos se incluye la TRANSPARENCIA. La EBEP establece la transparencia como principio rector de la conducta de los empleados públicos (Art. 53.4). Respuesta C.
Auxiliar Administrativo (específico);110;aux-e08_10;En el Decreto 235/2007 quedan expresamente excluidos del ámbito personal de aplicación del Acuerdo regulador de las condiciones de trabajo del personal de Osakidetza-Servicio vasco de salud, para los años 2007, 2008 y 2009:;El personal estatutario fijo.;El personal sanitario local APD.;El personal funcionario de carrera.;El personal con relación de empleo funcionarial de carácter interino.;B;B;C;B;B;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";D.235/2007 Art. 3 (ámbito personal): Quedan expresamente excluidos del Acuerdo regulador EL PERSONAL SANITARIO LOCAL APD (personal de centros y servicios sanitarios locales de atención primaria dependiente de entidades locales). Respuesta B.
Auxiliar Administrativo (específico);122;aux-e02_4;Cuando no se encuentre determinada expresamente la forma de publicidad de los actos administrativos que se dicten en el Ente Público Osakidetza-Servicio vasco de salud, de carácter general serán objeto de notificación a través:;Del Boletín Oficial del País Vasco.;Del Boletín Oficial del Estado.;De los Tablones de Anuncios de las organizaciones el Ente Público.;Del Portal de Internet del Ente Público.;C;C;A;C;C;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Normativa específica Osakidetza: Cuando no se encuentre determinada la forma de publicidad de los actos de carácter general, estos serán objeto de notificación a través DE LOS TABLONES DE ANUNCIOS DE LAS ORGANIZACIONES DEL ENTE PÚBLICO. Respuesta C.
Auxiliar Administrativo (específico);139;aux-e02_9;Según la Ley 39/2015, en relación con la identificación y firma de los interesados:;La firma será siempre obligatoria para formular solicitudes.;La identificación podrá realizarse mediante sistemas de firma electrónica.;Solo se exigirá firma cuando sea necesario acreditar la voluntad y consentimiento.;La identificación y la firma son siempre requisitos inseparables.;C;C;B;C;C;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Art. 9.2 Ley 39/2015: Solo se exigirá firma CUANDO SEA NECESARIO ACREDITAR LA VOLUNTAD Y CONSENTIMIENTO del interesado. La identificación y la firma son requisitos separables (d es FALSO). Respuesta C.
Auxiliar Administrativo (específico);153;aux-e02_23;Según la Ley 39/2015, la lengua de los procedimientos tramitados por la Administración General del Estado será:;La lengua cooficial del territorio.;El castellano o la lengua cooficial elegida por el interesado.;Exclusivamente el castellano.;La que determine el órgano competente.;B;B;C;B;B;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Art. 15.1 Ley 39/2015: La lengua de los procedimientos tramitados por la AGE será EL CASTELLANO O LA LENGUA COOFICIAL DE LA CCAA elegida por el interesado. No exclusivamente el castellano (c). Respuesta B.
Auxiliar Administrativo (específico);179;aux-e04_8;Según la Ley 39/2015, el plazo máximo para resolver el recurso potestativo de reposición será de:;Un mes.;Dos meses.;Tres meses.;Seis meses.;A;A;B;A;A;No;🟡 UGT Outlier — revisar UGT;"REVISAR UGT: App=K=O concuerdan; solo UGT difiere — probable typo PDF";Art. 124.2 Ley 39/2015: El plazo máximo para dictar y notificar la resolución del recurso de reposición será de UN MES. Transcurrido sin resolución, se entiende desestimado. Respuesta A.
