Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaApp;RespuestaUGT;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Estado;Acción;Explicación_app
Común C2 (AUX + ADM);52;comun-t03_11;La Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud, establece que:;El tiempo de trabajo es el período en el que el personal permanece en el centro sanitario.;Solo se considera tiempo de trabajo aquel en el que el personal se encuentre dentro del centro sanitario en su puesto de trabajo y en el ejercicio de su actividad y funciones.;Para el cómputo del tiempo de trabajo, se puede tomar en consideración tanto el tiempo en el que se permanece en el centro sanitario como fuera de dicho centro.;Ninguna de las respuestas anteriores es correcta.;C;C;D;C;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Art. 38 Ley 55/2003: La promoción interna temporal consiste en la ocupación transitoria de plazas de categoría superior, manteniéndose la relación estatutaria de origen. Tiene carácter excepcional y requiere cumplir los requisitos exigidos para el ingreso en la categoría superior. Respuesta C.
Común C2 (AUX + ADM);53;comun-t03_12;En el supuesto del personal estatutario de los servicios de salud:;El período de localización es aquel período de tiempo en el que el personal se encuentra únicamente en situación de disponibilidad.;Se considera período de descanso todo período de tiempo que no sea tiempo de trabajo.;El trabajo por turnos es una forma de organización del trabajo en equipo con arreglo al ritmo rotatorio y siempre de tipo continuo.;El período de localización es aquel período de tiempo en el que el personal se encuentra en situación de disponibilidad a los solos efectos de asegurar su posible localización.;B;B;B;D;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Art. 57.3 Ley 55/2003: 'El período de localización es aquel período de tiempo en el que el personal se encuentra en situación de disponibilidad A LOS SOLOS EFECTOS DE ASEGURAR SU POSIBLE LOCALIZACIÓN.' Respuesta D.
Común C2 (AUX + ADM);56;comun-t03_15;Respecto a la jornada y descansos diarios del personal estatutario de los servicios de salud, es correcta la siguiente afirmación:;El tiempo de trabajo correspondiente a la jornada ordinaria será siempre de 12 horas ininterrumpidas.;El personal tiene derecho a un período mínimo de descanso ininterrumpido de 8 horas entre el fin de una jornada y el comienzo de la siguiente.;Se podrán establecer jornadas ordinarias de hasta 24 horas con carácter excepcional y cuando así lo aconsejen razones organizativas o asistenciales.;El descanso ininterrumpido de 12 horas entre el fin de una jornada y el comienzo de la siguiente solo podrá reducirse en el caso de trabajo a turnos, cuando el personal cambie de equipo y no pueda disfrutar del período de descanso diario entre el final de la jornada de un equipo y el comienzo de la jornada del siguiente.;C;C;C;D;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Art. 60 Ley 55/2003: El personal tiene derecho a un período mínimo de descanso ininterrumpido de 12 horas entre jornadas. Esta reducción solo podrá producirse en el caso de trabajo a turnos, cuando el personal cambie de equipo. La opción D describe correctamente la excepción del trabajo a turnos. Respuesta D.
Común C2 (AUX + ADM);57;comun-t03_16;Según establece la Ley 55/2003, de 16 de diciembre, del Estatuto Marco del personal estatutario de los servicios de salud:;Resulta incompatible para el personal estatutario de los servicios de salud el ejercicio de las funciones sanitarias con cualquier otro tipo de funciones.;Al personal estatutario de los servicios de salud le resulta aplicable el mismo régimen de incompatibilidades establecido para el personal funcionario.;Atendiendo a lo que establezca la legislación vigente, el personal estatutario de los servicios de salud podrá compatibilizar las funciones sanitarias y docente.;Para el personal licenciado sanitario el complemento específico resulta irrenunciable.;C;C;C;B;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Art. 54 Ley 55/2003: La jornada ordinaria de trabajo del personal estatutario será la que establezca cada Servicio de Salud, sin que pueda exceder de la jornada general del personal al servicio de la Administración Pública de la respectiva Comunidad Autónoma. Respuesta B.
Común C2 (AUX + ADM);60;comun-t03_19;La excedencia voluntaria solicitada por el personal estatutario de los servicios de salud por interés particular exige haber prestado servicios efectivos en cualquiera de las Administraciones públicas durante:;Los cinco años inmediatamente anteriores.;Los cuatro años inmediatamente anteriores.;Los dos años inmediatamente anteriores.;Los tres años inmediatamente anteriores.;A;A;A;C;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Art. 67 Ley 55/2003: 'La excedencia voluntaria por interés particular exige haber prestado servicios efectivos en cualquiera de las administraciones públicas durante LOS CINCO AÑOS INMEDIATAMENTE ANTERIORES.' Respuesta A.
Común C2 (AUX + ADM);68;comun-t04_9;La Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi al contemplar los derechos y deberes ciudadanos, alude a:;La obligación de dejar constancia escrita de todo proceso diagnóstico o terapéutico.;La obligación de dejar constancia por cualquier medio de todo proceso diagnóstico.;La obligación de dejar constancia por cualquier medio de todo proceso diagnóstico o terapéutico.;No existe en la Ley ninguna previsión a este respecto, de modo que será el personal facultativo el que decida si el proceso diagnóstico o terapéutico debe quedar registrado.;A;A;A;C;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Art. 15.4 Ley 8/1997: Existe 'la obligación de dejar constancia POR CUALQUIER MEDIO de todo proceso diagnóstico o terapéutico.' No se limita a forma escrita. Respuesta C.
Común C2 (AUX + ADM);71;comun-t04_12;Osakidetza-Servicio Vasco de Salud se constituye como:;Ente público con personalidad jurídica propia y adscrito al Departamento de la Administración General competente en materia de salud.;Ente público de derecho privado con personalidad jurídica propia.;Ente público de derecho público al que se le atribuye personalidad jurídica propia.;Ninguna respuesta es correcta.;B;B;B;A;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Art. 25 Ley 8/1997: 'Osakidetza-Servicio Vasco de Salud se constituye como ENTE PÚBLICO con personalidad jurídica propia adscrito al Departamento de la Administración General competente en materia de salud.' Respuesta A.
Común C2 (AUX + ADM);75;comun-t04_15;La dirección, planificación y programación del sistema sanitario de Euskadi es competencia:;Del Gobierno Vasco.;Del presidente del ente público Osakidetza-Servicio Vasco de Salud a propuesta de su consejo de administración.;Del Parlamento Vasco.;Del Departamento competente en materia de sanidad.;A;A;A;D;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Art. 15 Ley 8/1997: 'La dirección, planificación y programación del sistema sanitario de Euskadi es competencia del DEPARTAMENTO COMPETENTE EN MATERIA DE SANIDAD.' No del Gobierno Vasco en pleno ni del Parlamento. Respuesta D.
Común C2 (AUX + ADM);78;comun-t04_18;Según establece la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi, en materia de sanciones señale la respuesta correcta:;Las infracciones serán sancionadas exclusivamente con sanción pecuniaria o económica.;En los casos de infracciones muy graves, el Gobierno Vasco podrá acordar el cierre temporal del establecimiento, instalación o servicio por un plazo máximo de cinco años.;Sin perjuicio de la multa que proceda imponer, en ciertos casos, la sanción económica que se imponga podrá ser incrementada hasta el triple de la cuantía del beneficio ilícito obtenido.;En los casos de infracciones muy graves, el Gobierno Vasco podrá acordar el cierre temporal del establecimiento, instalación o servicio por un plazo máximo de tres años.;B;B;B;C;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Art. 57 Ley 8/1997: Sin perjuicio de la multa, 'la sanción económica podrá ser incrementada hasta el TRIPLE de la cuantía del beneficio ilícito obtenido'. Respuesta C.
Común C2 (AUX + ADM);84;comun-t05_2;La función de nombrar y separar a quienes ocupen las Direcciones de División de la organización central del ente público Osakidetza-Servicio Vasco de Salud corresponde a:;El Consejo de Administración del Ente.;La Dirección General del Ente.;La Presidencia del Ente.;Ninguno de los anteriores.;A;A;A;B;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Decreto 255/1997, art. 22: El nombramiento y separación de los Directores de División de la organización central de Osakidetza es competencia del Consejo de Administración, a propuesta del Director General. La app indica C (Director General) pero la competencia recae en el Consejo de Administración. Respuesta B.
Común C2 (AUX + ADM);85;comun-t04_23;La composición del Consejo del ente público Osakidetza-Servicio Vasco de Salud contará, además de la persona que ejerza la Presidencia:;Con cinco integrantes en representación de la Administración de la Comunidad Autónoma, que nombrará el Gobierno: una persona a propuesta de la titularidad del Departamento de Hacienda y Administración Pública, otra a propuesta de quien ostente la titularidad de Bienestar Social y las tres restantes a propuesta de la persona titular de Sanidad.;Con cinco integrantes en representación de la Administración de la Comunidad Autónoma, que nombrará el Gobierno: una persona a propuesta de la titularidad del Departamento de Hacienda y Administración Pública, otra a propuesta de la persona titular de la Consejería de Presidencia y las tres restantes a propuesta de la persona titular de Sanidad.;Con cinco integrantes en representación de la Administración de la Comunidad Autónoma, que nombrará el Gobierno: dos a propuesta de la persona titular del Departamento de Hacienda y Administración Pública y las tres restantes a propuesta de la persona titular de Sanidad.;Ninguna de los anteriores.;C;C;C;A;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Decreto 255/1997 art. 6: El Consejo de Administración contará, además de la Presidencia, con cinco integrantes: uno a propuesta del Departamento de Hacienda y Administración Pública, uno a propuesta de Bienestar Social y tres a propuesta de la persona titular de Sanidad. Respuesta A.
Común C2 (AUX + ADM);87;comun-t04_25;La propuesta de Plan Estratégico del ente público Osakidetza-Servicio Vasco de Salud:;Será formulada por la Dirección General del Ente.;Será aprobada por la Presidencia del Ente.;Será sometida a informe del Consejo de Administración del Ente.;Todas las anteriores son ciertas.;A;A;A;D;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;La Dirección General formula la propuesta del Plan Estratégico.
Común C2 (AUX + ADM);89;comun-t05_4;De acuerdo con el Decreto 255/1997, de 11 de noviembre, por el que se establecen los Estatutos Sociales del ente público Osakidetza-Servicio Vasco de Salud, para el desarrollo de sus funciones, la Dirección General del ente público Osakidetza-Servicio Vasco de Salud contará con el apoyo de un equipo directivo formado por:;Dos Direcciones de División.;Tres Direcciones de División.;Cuatro Direcciones de División.;La norma no establece el número concreto de Direcciones de División.;B;B;B;C;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Decreto 255/1997: el equipo directivo cuenta con TRES Direcciones de División.
Común C2 (AUX + ADM);95;comun-t04_28;El número de integrantes del equipo directivo de las organizaciones de servicios sanitarios del ente público Osakidetza-Servicio Vasco de Salud:;Oscilará entre dos y tres.;Oscilará entre tres y cuatro.;Oscilará entre cuatro y cinco.;La normativa que rige su estatuto jurídico no establece un número determinado sino un máximo de cinco.;D;D;D;C;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Equipo directivo: máximo de cinco personas.
Común C2 (AUX + ADM);108;comun-t04_39;Según el Artículo 5 del Decreto 100/2018 de las organizaciones sanitarias integradas del ente público Osakidetza-Servicio Vasco de Salud, ¿cuáles son los tres órganos de participación que conforman la estructura organizativa de las OSI?;El Consejo de Dirección, el Comité Ejecutivo y el Comité de Ética Asistencial.;El Consejo Clínico Asistencial, el Consejo Social y la Comisión Sociosanitaria.;La Comisión de Seguridad, la Comisión de Docencia y la Comisión de Investigación.;El Consejo de Dirección, el Consejo Social y el Comité de Evaluación.;B;B;B;D;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Art. 5 Decreto 100/2018: Los tres órganos de participación de las OSI son: el Consejo Clínico Asistencial, el Consejo Social y la Comisión Sociosanitaria. Respuesta B.
Común C2 (AUX + ADM);110;comun-t04_41;De acuerdo con el Decreto 100/2018 de las organizaciones sanitarias integradas del ente público Osakidetza-Servicio Vasco de Salud, en las OSI de Tipo IV, la Dirección Gerencia asume, con el apoyo de puestos funcionales asistenciales, las funciones que corresponden a:;La Dirección de Personas y la Dirección Económico-Financiera.;La Dirección de Personas y la Dirección de Atención Integrada.;La Dirección Médica y la Dirección de Enfermería.;La Dirección de Gestión y el Consejo de Dirección.;C;C;C;B;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Art. 5 Decreto 100/2018: En las OSI de Tipo IV (monográficas pequeñas), la Dirección Gerencia asume las funciones de la Dirección Médica y la Dirección de Enfermería. Respuesta C.
Común C2 (AUX + ADM);114;comun-t04_45;"Según el Artículo 8.m del Decreto 100/2018 de las organizaciones sanitarias integradas del ente público Osakidetza-Servicio Vasco de Salud, ¿a qué dirección corresponde ""orientar la gestión desde una visión integradora empoderando la atención primaria""?";Dirección de Atención Integrada.;Dirección Gerencia.;Dirección de Enfermería.;Dirección Económico-Financiera.;B;B;B;A;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Art. 8.m Decreto 100/2018: La función de 'orientar la gestión desde una visión integradora empoderando la atención primaria' corresponde a la DIRECCIÓN DE ATENCIÓN INTEGRADA. Respuesta A.
Común C2 (AUX + ADM);121;comun-t04_52;Según el Decreto 147/2015, de 21 de julio, por el que se aprueba la Declaración sobre Derechos y Deberes de las personas en el sistema sanitario de Euskadi, son titulares de los derechos y deberes recogidos en esta Declaración:;Todas las personas que accedan o utilicen las prestaciones y servicios sanitarios que se proporcionan por el sistema sanitario de Euskadi.;Todas las personas nacidas en Euskadi.;Todas las personas empadronadas en Euskadi.;Todas las respuestas anteriores son correctas.;A;A;A;B;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;"Decreto 147/2015: Se reconoce el derecho a presentar quejas, reclamaciones y sugerencias, y a recibir respuesta por escrito en un plazo razonable. La B es correcta al recoger el procedimiento de reclamaciones en el sistema sanitario vasco. Respuesta B.
[AUTO-AUDIT 2026-03-31]: Corrected to A based on Kaixo/Osasun consensus."
Común C2 (AUX + ADM);123;comun-t04_54;Según el Decreto 147/2015, de 21 de julio, por el que se aprueba la Declaración sobre Derechos y Deberes de las personas en el sistema sanitario de Euskadi, los principios que informan e inspiran el conjunto de acciones de carácter sanitario que se desarrollen en el sistema sanitario de Euskadi son:;El respeto a la libertad de la persona, a su dignidad y a la autonomía en las decisiones que afecten a su salud.;El respeto a todo el personal profesional que integra el sistema sanitario de Euskadi.;La promoción de la investigación científica en el marco del sistema sanitario de Euskadi.;Todas las respuestas anteriores son correctas.;A;A;A;B;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Art. 4 Decreto 147/2015: Los principios que informan las acciones de carácter sanitario incluyen 'el respeto a la libertad de la persona, a su dignidad y a la autonomía en las decisiones que afecten a su salud'. No se menciona el respeto a todo el personal profesional como principio de la Declaración, ni la investigación científica. El respeto a la persona paciente/usuaria es el principio central. Respuesta A.
Común C2 (AUX + ADM);129;comun-t04_60;Según el Decreto 147/2015, de 21 de julio, por el que se aprueba la Declaración sobre Derechos y Deberes de las personas en el sistema sanitario de Euskadi, los niños y niñas y las personas adolescentes, en su condición de pacientes y personas usuarias del Sistema Sanitario de Euskadi, tienen derecho:;A la seguridad de recibir los cuidados que necesita, incluso en el caso de que fuese necesaria la intervención de la justicia, salvo oposición de los padres o madres, o la persona sustituta, en ejercicio del derecho fundamental a la libertad religiosa.;A la seguridad de recibir los cuidados que necesita, incluso en el caso de que fuese necesaria la intervención de la Consejería de Sanidad, salvo que la actuación sea contraria al entorno religioso y cultural del niño, niña o persona adolescente y, por lo tanto, también a su voluntad presunta.;A la seguridad de recibir los cuidados que necesita, incluso en el caso de que fuese necesaria la intervención de la justicia, si los padres o madres, o la persona sustituta, se los negaran por razones religiosas, culturales o cualquiera otras.;A la seguridad de recibir los cuidados que necesita, incluso en el caso de que fuese necesaria la intervención de la Consejería de Sanidad, si los padres o madres, o la persona sustituta, se los negaran por razones religiosas, culturales o cualquiera otras.;C;C;C;B;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;Art. 29 Decreto 147/2015: Los niños, niñas y adolescentes tienen derecho 'a la seguridad de recibir los cuidados que necesitan, incluso en el caso de que fuese necesaria la intervención de la justicia, SI LOS PADRES O MADRES, O LA PERSONA SUSTITUTA, SE LOS NEGARAN POR RAZONES RELIGIOSAS, CULTURALES O CUALQUIERA OTRAS.' La intervención es de la justicia (no de la Consejería) y no admite excepciones por razones religiosas. Respuesta C.
Común C2 (AUX + ADM);133;comun-t04_64;Según el Decreto 147/2015, de 21 de julio, por el que se aprueba la Declaración sobre Derechos y Deberes de las personas en el sistema sanitario de Euskadi, la persona paciente o usuaria:;Debe dejar por escrito las decisiones cuando sea legalmente exigible o recomendable.;Debe dejar por escrito las decisiones cuando se lo solicite el personal profesional que le atienda.;Debe dejar por escrito las decisiones cuando la política del centro sanitario así lo establezca.;Debe dejar por escrito las decisiones cuando puedan tener relevancia a efectos de responsabilidad legal.;A;A;A;B;No;Perfecto;SPOT-CHECK: App=Kaixo pero Osasun discrepa;"Decreto 147/2015: Se reconoce el derecho a presentar quejas, reclamaciones y sugerencias, y a recibir respuesta por escrito en un plazo razonable. La B es correcta al recoger el procedimiento de reclamaciones en el sistema sanitario vasco. Respuesta B.
[AUTO-AUDIT 2026-03-31]: Corrected to A based on Kaixo/Osasun consensus."
