Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaApp;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Estado;Acción;Explicación_app
Común A2 / Técnico;46;tec-comun-t04_11;En el ámbito territorial de la CAPV, las inspecciones necesarias para asegurar el cumplimiento de lo previsto en la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi y en el resto de la legislación sanitaria corresponde:;A la inspección de trabajo del País Vasco adscrita al Departamento de trabajo y empleo del Gobierno Vasco.;En todos los casos a las corporaciones locales de la Comunidad Autónoma.;Al Departamento competente en materia de sanidad.;La inspección en materia sanitaria no es competencia de la CAPV.;B;C;B;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 46 Ley 8/1997: las inspecciones sanitarias corresponden al Departamento competente en materia de sanidad del Gobierno Vasco.
Común A2 / Técnico;47;tec-comun-t04_12;Señale cuál de los siguientes criterios no está contemplado en la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi para la clasificación de las infracciones en leves, graves o muy graves:;La cuantía de la indemnización solicitada.;Los riesgos para la salud.;El grado de intencionalidad.;La gravedad de la alteración sanitaria y social producida.;D;A;D;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 48 Ley 8/1997: los criterios de graduación son: riesgo para la salud, grado de intencionalidad, gravedad de la alteración sanitaria y social. La cuantía de la indemnización solicitada no es un criterio de clasificación.
Común A2 / Técnico;48;tec-comun-t04_13;Según establece la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi, en materia de sanciones señale la respuesta correcta:;Las infracciones serán sancionadas exclusivamente con sanción pecuniaria o económica.;En los casos de infracciones muy graves, el Gobierno Vasco podrá acordar el cierre temporal del establecimiento por un plazo máximo de cinco años.;Sin perjuicio de la multa que proceda imponer, en ciertos casos, la sanción económica que se imponga podrá ser incrementada hasta el triple de la cuantía del beneficio ilícito obtenido.;En los casos de infracciones muy graves, el Gobierno Vasco podrá acordar el cierre temporal del establecimiento por un plazo máximo de tres años.;A;C;A;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 49 Ley 8/1997: en determinados casos, la sanción económica puede incrementarse hasta el triple del beneficio ilícito obtenido. El cierre temporal máximo es 5 años (no 3), y las sanciones no son solo pecuniarias.
Común A2 / Técnico;49;tec-comun-t04_14;Según la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi, las organizaciones a través de las que se procede a la provisión de servicios sanitarios con medios adscritos al ente público Osakidetza:;Realizarán su actividad bajo el principio de autonomía económico-financiera y de gestión.;Se configurarán como instituciones de titularidad privada y con personalidad jurídica propia.;Se crearán por ley como entidades de titularidad pública y con personalidad jurídica propia.;Para realizar su actividad dependen presupuestariamente del ente público Osakidetza.;D;A;C;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 29 Ley 8/1997: las organizaciones de servicios de Osakidetza realizan su actividad bajo el principio de autonomía económico-financiera y de gestión.
Común A2 / Técnico;50;tec-comun-t04_15;Respecto al personal sujeto al régimen estatutario que establece la Ley 8/1997, de 26 de junio, de Ordenación Sanitaria de Euskadi, señale la respuesta correcta:;Este vínculo estatutario se adquiere mediante el cumplimiento de dos requisitos: superación del proceso selectivo y nombramiento conferido por autoridad competente.;Los principios que rigen el procedimiento selectivo para la adquisición del vínculo estatutario son exclusivamente el de igualdad, mérito y capacidad.;Los instrumentos de clasificación del personal sujeto a este régimen estatutario son el grupo de titulación, el grupo profesional, la categoría y el puesto funcional que se desempeñe.;El grupo de titulación constituye el instrumento de clasificación del personal en base al agrupamiento unitario de las aptitudes profesionales y contenido específico de las tareas propias de la prestación.;D;C;D;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 34 Ley 8/1997: los instrumentos de clasificación del personal estatutario de Osakidetza son: grupo de titulación, grupo profesional, categoría y puesto funcional.
Común A2 / Técnico;57;tec-comun-t04_22;Corresponde a la organización central de administración y gestión corporativa del ente público Osakidetza, en materia de gestión asistencial (señálese la respuesta incorrecta):;Supervisar el cumplimiento de las políticas generales de calidad y realizar auditorías.;Definir criterios generales y proponer la política de precios correspondiente a la prestación de servicios sanitarios incluida en la cobertura pública.;Coordinar los recursos y, en su caso, proponer medidas de intervención sobre las listas de espera.;Promover protocolos de interés general.;C;B;A;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;La organización central de Osakidetza no tiene como función propia definir la política de precios para la cobertura pública (eso corresponde al Departamento de Sanidad). La opción B es la incorrecta.
Común A2 / Técnico;58;tec-comun-t04_23;Corresponde a la organización central de administración y gestión corporativa del ente público Osakidetza, en materia de gestión de recursos humanos (señálese la respuesta incorrecta):;Supervisar, controlar y evaluar las políticas de personal del Ente.;Promover acuerdos de cooperación con centros correspondientes a la sanidad privada.;Dirigir el funcionamiento del registro de personal.;Gestionar los procesos de selección y de provisión que el Consejo de Administración determine.;A;B;A;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;La promoción de acuerdos de cooperación con centros de sanidad privada no es una función de gestión de RRHH de la organización central. La opción B es incorrecta en este contexto.
Común A2 / Técnico;59;tec-comun-t04_24;Corresponde a cada organización de servicios sanitarios del ente público Osakidetza el ejercicio de todas las facultades de gestión y administración que se requieran, quedando excluidas únicamente:;Aquellas facultades de gestión centralizada que los estatutos sociales atribuyen expresamente a la organización central del Ente Público y las competencias propias de otras instancias de acuerdo con las Leyes y Reglamentos vigentes.;Aquellas facultades de gestión centralizada que los estatutos sociales atribuyen expresamente a la Presidencia del Ente Público y las competencias propias de otras instancias.;Aquellas facultades de gestión centralizada que los estatutos sociales atribuyen expresamente al Consejo de Administración del Ente Público y las competencias propias de otras instancias.;Ninguna de las anteriores.;B;A;C;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 33 Ley 8/1997: cada organización de servicios tiene todas las facultades de gestión salvo las que los estatutos atribuyen expresamente a la organización central del ente y las competencias de otras instancias según las leyes.
Común A2 / Técnico;61;tec-comun-t04_26;La función de representar al ente público Osakidetza en la negociación colectiva del Acuerdo Marco de Condiciones de Trabajo del Personal corresponde a:;La organización central de administración y gestión corporativa del ente público Osakidetza.;La Presidencia del ente público Osakidetza.;El Consejo de Administración del ente público Osakidetza.;Ninguna de las anteriores.;D;A;B;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 32 Ley 8/1997: corresponde a la organización central (Dirección General) la representación del ente en la negociación colectiva del Acuerdo Marco de Condiciones de Trabajo.
Común A2 / Técnico;68;tec-comun-t05_3;Según el Artículo 1 del Decreto 100/2018 de las OSI del ente público Osakidetza, ¿bajo qué principio fundamental actuarán las OSI?;Principio de coordinación territorial y sectorial.;Principio de jerarquía funcional única.;Principio de autonomía económico-financiera y de gestión.;Principio de centralización de todos los recursos.;A;C;B;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;"Art. 1 Decreto 100/2018: las OSI actúan bajo el principio de autonomía económico-financiera y de gestión.
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;81;tec-comun-t06_1;Según el Decreto 147/2015, de 21 de julio, por el que se aprueba la Declaración sobre Derechos y Deberes de las personas en el sistema sanitario de Euskadi, son titulares de los derechos y deberes recogidos en esta Declaración:;Todas las personas que accedan o utilicen las prestaciones y servicios sanitarios que se proporcionan por el sistema sanitario de Euskadi.;Todas las personas nacidas en Euskadi.;Todas las personas empadronadas en Euskadi.;Todas las respuestas anteriores son correctas.;D;A;C;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;"Decreto 147/2015: Se reconoce el derecho a presentar quejas, reclamaciones y sugerencias, y a recibir respuesta por escrito en un plazo razonable. La B es correcta al recoger el procedimiento de reclamaciones en el sistema sanitario vasco. Respuesta B.
[AUTO-AUDIT 2026-03-31]: Corrected based on Kaixo/Osasun consensus. Previous answer was incorrect."
Común A2 / Técnico;84;tec-comun-t06_4;A los efectos de la Declaración sobre Derechos y Deberes recogida en el Decreto 147/2015, de 21 de julio, se configuran las siguientes fases de la vida en las que se concretan necesidades específicas:;1. Neonatología, infancia y adolescencia. 2. Salud sexual y reproductiva, embarazo y parto. 3. Salud laboral. 4. Personas mayores y final de la vida.;1. Infancia y adolescencia. 2. Salud sexual y reproductiva. 3. Salud laboral. 4. Personas mayores.;1. Infancia. 2. Adolescencia, salud sexual y reproductiva. 3. Personas mayores. 4. Final de la vida.;1. Infancia y adolescencia. 2. Salud sexual y reproductiva. 3. Personas mayores. 4. Final de la vida.;A;D;C;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;"Decreto 147/2015: las fases específicas reconocidas son: infancia y adolescencia; salud sexual y reproductiva; personas mayores; y final de la vida."
Común A2 / Técnico;90;tec-comun-t08_2;Según dispone la Ley 41/2002, de 14 de noviembre, básica reguladora de la autonomía del paciente, la información asistencial:;Como regla general se proporcionará verbalmente.;Como regla general se proporcionará por escrito.;Como regla general se proporcionará verbalmente y por escrito.;Como regla general se proporcionará por escrito cuando se trate de pacientes menores de edad.;B;A;C;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 20 Ley 41/2002: La unidad de admisión y documentación clínica de cada centro tendrá encomendada la custodia y la gestión de la historia clínica. La C es correcta al atribuir esta función a dicha unidad. Respuesta C.
Común A2 / Técnico;92;tec-comun-t08_4;Según dispone la Ley 41/2002, de 14 de noviembre, básica reguladora de la autonomía del paciente, garantiza el cumplimiento del derecho a la información asistencial:;La persona facultativa responsable de la persona paciente.;La persona facultativa responsable de la persona paciente y el personal profesional que le atienda durante el proceso asistencial o le aplique una técnica o un procedimiento concreto.;La persona facultativa responsable de la persona paciente y el personal de enfermería.;El centro sanitario.;A;B;C;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 20 Ley 41/2002: La unidad de admisión y documentación clínica de cada centro tendrá encomendada la custodia y la gestión de la historia clínica. La C es correcta al atribuir esta función a dicha unidad. Respuesta C.
Común A2 / Técnico;93;tec-comun-t08_5;Según dispone la Ley 41/2002, de 14 de noviembre, básica reguladora de la autonomía del paciente, la persona titular del derecho a la información asistencial es:;La persona paciente. También serán informadas las personas vinculadas a ella, por razones familiares o de hecho, en la medida que la persona paciente lo permita de manera expresa o tácita.;La persona paciente. También serán informadas las personas vinculadas a ella, por razones familiares o de hecho, en la medida que la persona paciente lo permita de manera expresa.;La persona paciente. También serán informadas las personas vinculadas a ella, por razones familiares o de hecho, en la medida que la persona paciente lo permita por escrito.;La persona paciente. También serán informadas las personas vinculadas a ella, por razones familiares o de hecho.;C;A;C;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 20 Ley 41/2002: La unidad de admisión y documentación clínica de cada centro tendrá encomendada la custodia y la gestión de la historia clínica. La C es correcta al atribuir esta función a dicha unidad. Respuesta C.
Común A2 / Técnico;94;tec-comun-t08_6;Según dispone la Ley 41/2002, de 14 de noviembre, básica reguladora de la autonomía del paciente, cuando existe riesgo inmediato grave para la integridad física o psíquica de la persona enferma y no es posible conseguir su autorización:;El personal facultativo podrá llevar a cabo las intervenciones clínicas indispensables en favor de la salud de la persona paciente, con el consentimiento de sus familiares.;El personal facultativo podrá llevar a cabo las intervenciones clínicas indispensables en favor de la salud de la persona paciente, con el consentimiento de quien ostente la representación legal.;El personal facultativo podrá llevar a cabo las intervenciones clínicas indispensables en favor de la salud de la persona paciente, con autorización judicial.;El personal facultativo podrá llevar a cabo las intervenciones clínicas indispensables en favor de la salud de la persona paciente, sin necesidad de contar con su consentimiento.;C;D;C;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 9.2.b) Ley 41/2002: ante riesgo inmediato grave y sin posibilidad de obtener autorización, el facultativo puede intervenir sin consentimiento. La urgencia vital no requiere esperar familiares, representante legal ni autorización judicial.
Común A2 / Técnico;95;tec-comun-t08_7;Según dispone la Ley 41/2002, de 14 de noviembre, básica reguladora de la autonomía del paciente, el personal facultativo proporcionará a la persona paciente, antes de recabar su consentimiento escrito, la información básica siguiente:;Todos los riesgos en condiciones normales, conforme a la experiencia y al estado de la ciencia o directamente relacionados con el tipo de intervención.;Todos los riesgos, siempre que sean graves, en condiciones normales, conforme a la experiencia y al estado de la ciencia o directamente relacionados con el tipo de intervención.;Todos los riesgos probables en condiciones normales, conforme a la experiencia y al estado de la ciencia o directamente relacionados con el tipo de intervención.;Todos los riesgos, siempre que sean probables y graves, en condiciones normales.;B;D;C;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 10.1.b) Ley 41/2002: la información previa al consentimiento escrito incluye los riesgos probables en condiciones normales, conforme a la experiencia y al estado de la ciencia.
Común A2 / Técnico;96;tec-comun-t08_8;Según dispone la Ley 41/2002, de 14 de noviembre, básica reguladora de la autonomía del paciente, en caso de que la persona paciente no acepte el alta:;El personal facultativo, previa comprobación del informe clínico, oirá a la persona paciente y, si persiste en su negativa, lo pondrá en conocimiento de la dirección del centro para que confirme o revoque la decisión.;El personal facultativo, previa comprobación del informe clínico, oirá a la persona paciente y, si persiste en su negativa, lo pondrá en conocimiento de la autoridad judicial para que confirme o revoque la decisión.;La dirección del centro, previa comprobación del informe clínico, oirá a la persona paciente y, si persiste en su negativa, lo pondrá en conocimiento de la autoridad judicial para que confirme o revoque la decisión.;La dirección del centro, previa comprobación del informe clínico, oirá a la persona paciente y, si persiste en su negativa, lo pondrá en conocimiento de la autoridad administrativa competente.;D;A;C;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 21.2 Ley 41/2002: si el paciente no acepta el alta, la dirección del centro (no el facultativo), previa comprobación del informe clínico, le oirá y si persiste lo comunicará a la autoridad judicial.
Común A2 / Técnico;97;tec-comun-t09_1;Según dispone la Ley 7/2002, de 12 de diciembre, de las voluntades anticipadas en el ámbito de la sanidad, la expresión de los objetivos vitales y valores personales tiene como fin:;Conocer la voluntad de la persona paciente en relación con la administración de sedación.;Conocer la voluntad de la persona paciente en relación con la finalización de tratamientos de soporte vital.;Ayudar a interpretar las instrucciones y servir de orientación para la toma de decisiones clínicas.;Documentar la actuación del personal profesional sanitario a efectos de responsabilidad legal.;D;C;A;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 3 Ley 7/2002: El DVA puede ser revocado en cualquier momento sin necesidad de respetar ninguna formalidad especial, basta con manifestar la voluntad de forma fehaciente. La última voluntad expresada prevalece sobre la anterior. Respuesta D.
Común A2 / Técnico;98;tec-comun-t09_2;Según dispone la Ley 7/2002, de 12 de diciembre, de las voluntades anticipadas, en el documento de voluntades anticipadas:;Se podrá designar una o varias personas representantes para que sean las interlocutoras válidas del personal facultativo o del equipo sanitario.;Se podrá designar exclusivamente una persona representante para que sea la interlocutora válida del personal facultativo o del equipo sanitario.;Se podrá designar una o varias personas representantes si la persona paciente es menor de edad.;Se podrá designar una o varias personas representantes si la persona paciente está incapacitada judicialmente.;B;A;B;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 3 Ley 7/2002: El DVA puede ser revocado en cualquier momento sin necesidad de respetar ninguna formalidad especial, basta con manifestar la voluntad de forma fehaciente. La última voluntad expresada prevalece sobre la anterior. Respuesta D.
Común A2 / Técnico;102;tec-comun-t09_6;Según dispone la Ley 7/2002, de 12 de diciembre, de las voluntades anticipadas, el documento de voluntades anticipadas puede ser modificado, sustituido por otro o revocado en cualquier momento por la persona otorgante:;Siempre que conserve la capacidad o actúe con la asistencia de su representante legal y actúe libremente.;Siempre que conserve la capacidad o exista autorización judicial.;Siempre que actúe libremente.;Siempre que conserve la capacidad y actúe libremente.;C;D;A;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 4.2 Ley 7/2002: el documento de VA puede modificarse, sustituirse o revocarse siempre que la persona conserve la capacidad Y actúe libremente. Ambas condiciones son necesarias simultáneamente.
Común A2 / Técnico;103;tec-comun-t09_7;Según dispone la Ley 7/2002, de 12 de diciembre, de las voluntades anticipadas, la voluntad de la persona prevalece sobre las instrucciones contenidas en el documento de voluntades anticipadas ante cualquier intervención clínica siempre que:;La persona otorgante conserve su capacidad y su libertad de actuación.;La persona otorgante conserve su capacidad, su libertad de actuación y la posibilidad de expresarse.;La persona otorgante conserve su capacidad, su libertad de actuación y la posibilidad de expresarse de manera inequívoca.;La persona otorgante conserve su capacidad, su libertad de actuación y la posibilidad de expresarse de manera inequívoca o a través de la persona interlocutora designada al efecto.;B;C;D;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 5 Ley 7/2002: la voluntad actual del paciente prevalece sobre el documento cuando conserva su capacidad, libertad de actuación y puede expresarse de manera inequívoca.
Común A2 / Técnico;105;tec-comun-t10_1;Según dispone la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales, podrán tener acceso a los datos personales de las personas fallecidas:;Las personas vinculadas a la persona fallecida por razones familiares o de hecho así como quienes ostenten la condición de herederas, en todo caso.;Solo las personas vinculadas a la persona fallecida por razones familiares siempre que lo hubiera autorizado expresamente la persona fallecida.;Las personas vinculadas a la persona fallecida por razones familiares o de hecho así como quienes ostenten la condición de herederas, salvo que la persona fallecida lo hubiese prohibido expresamente.;En caso de que la persona fallecida fuera menor de edad, el acceso podrá ejercerse también por sus representantes legales o por el Ministerio Fiscal que siempre actuará de oficio.;D;C;B;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 3 LO 3/2018: pueden acceder a datos de personas fallecidas sus herederas y personas vinculadas por razones familiares o de hecho, salvo que la persona fallecida lo hubiese prohibido expresamente o la ley lo establezca de otra forma.
Común A2 / Técnico;107;tec-comun-t10_3;Con relación al tratamiento de los datos personales de una persona menor de edad, señale la respuesta correcta:;Únicamente podrá fundarse en su consentimiento cuando sea mayor de dieciséis años.;La Ley Orgánica 3/2018 no prevé que las personas menores de edad puedan dar su consentimiento válidamente a estos efectos.;Únicamente podrá fundarse en su consentimiento cuando sea mayor de catorce años.;El tratamiento de los datos de las personas menores de dieciséis años, fundado en el consentimiento, solo será lícito si consta el consentimiento de quienes ejercen la patria potestad o tutela, con el alcance que dichas personas determinen.;A;C;D;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 7 LO 3/2018: El tratamiento de datos personales de menores requiere el consentimiento de sus padres o tutores cuando el menor sea menor de 14 años. Los mayores de 14 años pueden consentir por sí mismos. La A recoge correctamente este umbral de 14 años. Respuesta A.
Común A2 / Técnico;108;tec-comun-t10_4;La Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales, en su artículo 9 considera categorías especiales de datos aquellos que permitan, respecto a la persona afectada, identificar:;Su ideología y afiliación sindical.;Su religión y orientación sexual.;Sus creencias u origen racial o étnico.;Todas las respuestas son correctas.;A;D;C;No;Disputa triple;REVISAR MANUALMENTE: consultar texto legal;Art. 9 LO 3/2018 y art. 9 RGPD: son categorías especiales los datos que revelen ideología, afiliación sindical, religión, creencias, origen racial o étnico, salud, vida sexual u orientación sexual. Las tres opciones son correctas.
