Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaIA;RespuestaApp;RespuestaUGT;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Estado;Acción;Explicación_app
Común A2 / Técnico;80;tec-comun-t05_15;Según el Artículo 19.1 del Decreto 100/2018 de las OSI de Osakidetza, ¿quién ejerce la presidencia del Consejo Clínico Asistencial?;La persona titular de la Dirección Gerencia.;La persona titular de la Dirección Médica.;La persona titular de la Dirección de Enfermería.;La persona de mayor antigüedad en la vocalía de Atención Primaria.;A;D;B;A;?;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Art. 19.1 Decreto 100/2018: la presidencia del Consejo Clínico Asistencial corresponde a la persona titular de la Dirección Gerencia de la OSI.
Común A2 / Técnico;82;tec-comun-t06_2;Según el Decreto 147/2015, de 21 de julio, todos los derechos y obligaciones establecidos son exigibles:;En relación a todas las acciones de carácter sanitario, incluyendo docencia, en centros de titularidad pública o privada o concertados de Euskadi. Las acciones relativas a la investigación biomédica quedan fuera de esta Declaración.;En relación a todas las acciones de carácter sanitario, incluyendo docencia, en centros de titularidad pública o concertados del sistema sanitario de Euskadi. Las acciones relativas a la investigación biomédica quedan fuera de esta Declaración.;En relación a todas las acciones de carácter sanitario, incluyendo investigación y docencia, en centros de titularidad pública o privada o concertados de Euskadi.;En relación a todas las acciones de carácter sanitario, incluyendo investigación y docencia, en centros de titularidad pública o concertados del sistema sanitario de Euskadi.;A;B;C;A;?;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Art. 3 Decreto 147/2015: los derechos son exigibles en centros de titularidad pública, privada o concertados de Euskadi, incluyendo docencia. La investigación biomédica se rige por su normativa específica.
Común A2 / Técnico;103;tec-comun-t09_7;Según dispone la Ley 7/2002, de 12 de diciembre, de las voluntades anticipadas, la voluntad de la persona prevalece sobre las instrucciones contenidas en el documento de voluntades anticipadas ante cualquier intervención clínica siempre que:;La persona otorgante conserve su capacidad y su libertad de actuación.;La persona otorgante conserve su capacidad, su libertad de actuación y la posibilidad de expresarse.;La persona otorgante conserve su capacidad, su libertad de actuación y la posibilidad de expresarse de manera inequívoca.;La persona otorgante conserve su capacidad, su libertad de actuación y la posibilidad de expresarse de manera inequívoca o a través de la persona interlocutora designada al efecto.;C;B;B;C;D;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Art. 5 Ley 7/2002: la voluntad actual del paciente prevalece sobre el documento cuando conserva su capacidad, libertad de actuación y puede expresarse de manera inequívoca.
Común A2 / Técnico;112;tec-comun-t10_8;Respecto a los sistemas de información de denuncias internas que contempla la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales, es correcta la siguiente afirmación:;En todo caso, transcurridos tres meses desde la introducción de los datos, deberá procederse a su supresión del sistema de denuncias, salvo que la finalidad de la conservación sea dejar evidencia del funcionamiento del modelo de prevención de la comisión de delitos.;En todo caso, transcurridos seis meses desde la introducción de los datos, deberá procederse a su supresión del sistema de denuncias, salvo que la finalidad de la conservación sea dejar evidencia del funcionamiento del modelo de prevención de la comisión de delitos.;En todo caso, y sin excepción, transcurridos seis meses desde la introducción de los datos, deberá procederse a su supresión del sistema de denuncias.;La Ley no prevé plazo temporal alguno para la supresión de los datos del sistema de denuncias.;B;A;D;A;C;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Art. 24 LO 3/2018: Los sistemas de denuncias internas deben garantizar la confidencialidad del denunciante. Los datos conservados sólo podrán ser accedidos por quienes sean indispensables para resolver la denuncia. La B recoge correctamente los requisitos de confidencialidad. Respuesta B.
Común A2 / Técnico;131;tec-comun-t12_11;Según la comparativa de la Memoria Económica del Plan de Salud Euskadi 2030, ¿cuál es el programa presupuestario (fuera del gasto general de Osakidetza) con mayor dotación?;Programa de Salud Pública.;Programa de Farmacia.;Programa de Adicciones.;Programa de Investigación y Planificación.;B;B;B;A;C;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Plan de Salud Euskadi 2030, Memoria Económica: El programa presupuestario con mayor dotación es el de Atención Especializada / Hospitales. La B es la respuesta correcta. Respuesta B.
Común A2 / Técnico;139;tec-comun-t13_4;Sobre el impacto del cambio global y climatico, el Diagnostico del Pacto Vasco de Salud de Euskadi advierte de la aparicion de:;Patologias ligadas exclusivamente al consumo de alimentos ultraprocesados.;Nuevos vectores y virus anteriormente inexistentes en nuestro entorno, como el virus del Nilo.;Una disminucion natural de las enfermedades respiratorias debido al aumento de temperaturas.;La erradicacion total de las enfermedades infecciosas estacionales.;B;A;B;D;A;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;El Diagnostico advierte que el cambio climatico favorece la aparicion de nuevos vectores y patogenos, como el virus del Nilo Occidental, antes inexistentes en el entorno vasco.
Común A2 / Técnico;156;tec-comun-t14_6;Cual de los siguientes es el Objetivo Especifico numero 1 de la Estrategia de Seguridad del Paciente 20-30, enfocado en el cambio interno?;Garantizar la continuidad de las lineas de accion y proyectos previamente implantados.;Impulsar la cultura de seguridad de paciente en las organizaciones de servicios de Osakidetza, promoviendo la formacion y sensibilizacion como aspectos clave.;Optimizar la prescripcion de pruebas diagnosticas que utilizan radiacion ionizante.;Implantar un sistema de identificacion inequivoca de pacientes en todas las fases del proceso asistencial.;B;C;A;B;D;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;El Objetivo Especifico 1 es impulsar la cultura de seguridad del paciente en Osakidetza, con la formacion y sensibilizacion del personal como pilares fundamentales.
Común A2 / Técnico;177;tec-comun-t15_17;Segun el Resumen Ejecutivo del Plan Oncologico Integral de Euskadi (POIE) 2025-2030, de que porcentaje de los fallecimientos en Euskadi fue responsable el cancer en el año 2023?;22,3%.;Menos del 15%.;33,8%.;28%.;C;B;D;C;A;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;POIE 2025-2030 (Resumen Ejecutivo): El cáncer es responsable del 28% de las muertes en Euskadi, siendo la segunda causa de mortalidad. La C recoge correctamente este porcentaje. Respuesta C.
Común A2 / Técnico;192;tec-comun-t16_8;Segun la LO 3/2021, de regulacion de la eutanasia, cual es el plazo que tiene la persona facultativa responsable para comunicar la resolucion favorable a la Comision de Garantia y Evaluacion para su posterior verificacion?;Dentro de las 24 horas siguientes a la resolucion.;Dentro del dia siguiente natural a la resolucion.;7 dias desde la resolucion favorable.;No existe un plazo establecido para esta comunicacion.;B;B;A;B;D;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;El Art. 10.3 LO 3/2021 establece que el medico responsable debe comunicar la resolucion favorable a la Comision de Garantia y Evaluacion dentro del dia siguiente natural a dicha resolucion.
Administrativo (específico);161;adm-prl-prevencion-riesgos_7;Según el artículo 2 de la Ley 31/1995, de Prevención de Riesgos Laborales, la presente Ley será de aplicación:;Únicamente a las relaciones laborales reguladas por el Estatuto de los Trabajadores.;Únicamente al personal al servicio de la Administración Pública.;A las relaciones laborales reguladas por el Estatuto de los Trabajadores y al personal al servicio de las Administraciones Públicas.;Las respuestas a) b) y c) son incorrectas.;C;C;D;?;C;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Art. 2.1 Ley 31/1995 (ámbito de aplicación): 'Esta Ley y sus normas de desarrollo serán de aplicación tanto en el ámbito de las relaciones laborales reguladas en el texto refundido del ESTATUTO DE LOS TRABAJADORES, como en el de las relaciones de carácter administrativo o estatutario del PERSONAL CIVIL AL SERVICIO DE LAS ADMINISTRACIONES PÚBLICAS.' Doble ámbito: ET + AAPP. Respuesta C.
Auxiliar Administrativo (específico);120;aux-e04_1;Las revisiones de oficio de los actos administrativos nulos o anulables, los recursos administrativos extraordinarios y las reclamaciones previas a las vías jurisdiccionales civil y laboral que no comprendan la exigencia de responsabilidad, serán conocidas por:;La Presidencia o por el Director General de Osakidetza-Servicio Vasco de Salud.;El Consejo de Administración o por los Directores-Gerentes de Osakidetza-Servicio Vasco de Salud.;La Presidencia o por el Consejo de Administración de Osakidetza-Servicio Vasco de Salud.;El Director General o por los Directores-Gerentes de las organizaciones de Osakidetza-Servicio Vasco de Salud.;D;A;C;A;D;No;🟠 Disputa triple;REVISIÓN MANUAL: 3 respuestas diferentes — consultar texto legal;Decreto 255/1997: las revisiones de oficio y recursos extraordinarios corresponden a la Presidencia o Director General.
