Categoría;Nº;ID;Pregunta;OpciónA;OpciónB;OpciónC;OpciónD;RespuestaIA;RespuestaApp;RespuestaUGT;RespuestaKaixo;RespuestaOsasun;Trío(A=K=O);Estado;Acción;Explicación_app
Técnico Superior Administrativo (específico);365;tec-pgc-contabilidad_12;Conforme al Plan General de Contabilidad, se entenderá que existe influencia significativa y por lo tanto es una empresa asociada del grupo cuando: ELIJA LA AFIRMACIÓN CORRECTA;Cuando una o varias empresas del grupo incluidas las entidades o personas físicas dominantes, posean, al menos, el 20 por 100 de los derechos de voto de otra sociedad.;Cuando haya representación en el consejo de administración u órgano equivalente de dirección de la empresa participada, siempre que alguna empresa incluida en el grupo o personas físicas dominantes, tenga participación en ella.;Cuando haya representación en el consejo de administración u órgano equivalente de dirección de la empresa participada, aunque ninguna empresa incluida en el grupo o personas físicas dominantes, tenga participación en ella.;Todas las respuestas son incorrectas.;?;A;C;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Según el PGC (NRV 9), se considera que existe influencia significativa cuando una o varias empresas del grupo posean al menos el 20% de los derechos de voto de otra sociedad (o el 3% si cotiza en mercados regulados). Esta presunción puede confirmarse o desvirtuarse por otros indicios.
Técnico Superior Administrativo (específico);379;tec-analisis-financiero_9;El estudio de la rentabilidad financiera es un asunto que se incluye en:;El análisis económico.;El análisis financiero.;El análisis operativo.;El análisis patrimonial.;?;B;A;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;El estudio de la rentabilidad financiera (RF = Beneficio neto / Recursos propios, o ROE) forma parte del análisis FINANCIERO de la empresa. El análisis financiero estudia la estructura de financiación, la liquidez, el endeudamiento y la rentabilidad financiera.
Técnico Superior Administrativo (específico);380;tec-analisis-financiero_10;Si el ratio de Garantía (Activo / Pasivo) es igual a la unidad:;La empresa se encuentra en suspensión de pagos.;La empresa se encuentra ante la máxima estabilidad financiera.;La empresa tiene un fondo de maniobra positivo.;La empresa tiene un nivel de endeudamiento muy elevado.;?;A;D;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Si el ratio de Garantía (Activo total / Pasivo total) = 1, significa que el Activo = Pasivo y por tanto el Patrimonio neto = 0. La empresa se encuentra en una situación límite (suspensión de pagos / quiebra técnica), sin colchón patrimonial para absorber pérdidas.
Técnico Superior Administrativo (específico);395;tec-control-publico_1;Son trabajos obligatorios para el Tribunal Vasco de Cuentas Públicas, en relación a los trabajos de fiscalización: (indique la afirmación FALSA):;Las cuentas de los municipios de la Comunidad Autónoma de Euskadi.;Peticiones específicas aprobadas por el Pleno del Parlamento Vasco.;La cuenta de la Comunidad Autónoma de Euskadi.;Las cuentas de Osakidetza.;?;B;D;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Los trabajos de fiscalización OBLIGATORIOS del TVCP incluyen: la Cuenta de la CAE, las cuentas de entidades locales (municipios), las de Osakidetza como ente del sector público vasco, etc. Las 'peticiones específicas del Parlamento Vasco' son trabajos DISCRECIONALES, no obligatorios.
Técnico Superior Administrativo (específico);396;tec-control-publico_2;La función fiscalizadora del Tribunal Vasco de Cuentas Públicas:;Examina y comprueba la documentación relativa a la autorización de las operaciones económico-financieras de los Entes del Sector Público Vasco.;Se extiende al examen de la eficacia y eficiencia de la actividad económico- financiera de los Entes del Sector Público Vasco.;Tiene por objeto controlar la actividad económico-financiera de los Entes del Sector Público Vasco.;Todas las respuestas son falsas.;?;C;B;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;La función fiscalizadora del TVCP (Ley 1/1988) tiene por objeto el control de la actividad económico-financiera de los Entes del Sector Público Vasco, verificando la legalidad, regularidad y el buen uso de los fondos públicos. También puede extenderse a eficacia y eficiencia.
Técnico Superior Administrativo (específico);414;tec-control-publico_20;El Decreto Legislativo que regula el Control Económico y Contabilidad de la CAE establece que: ELIJA LA AFIRMACIÓN CORRECTA;Estarán sujetos al régimen de contabilidad empresarial los entes públicos de derecho privado, las sociedades públicas, y las fundaciones del sector público.;Estarán sujetos al régimen de contabilidad empresarial los entes públicos de derecho privado, las sociedades públicas, y los consorcios del sector público y las fundaciones del sector público.;Estarán sujetos al régimen de contabilidad pública la Administración General de la Comunidad Autónoma, los organismos autónomos, los consorcios del sector público y las fundaciones del sector público.;Todas las respuestas son incorrectas.;?;C;A;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Según el Decreto Legislativo, estarán sujetos al régimen de contabilidad PÚBLICA: la Administración General de la CAE, los organismos autónomos, los consorcios del sector público y las fundaciones del sector público. El régimen de contabilidad empresarial aplica a EPDPs y Sociedades Públicas.
Técnico Superior Administrativo (específico);415;tec-control-publico_21;Conforme al Decreto Legislativo que regula el Control Económico y Contabilidad de la CAE, es competencia del consejero o de la consejera del departamento del Gobierno Vasco competente en materia de contabilidad y responsabilidades contables: (ELIJA LA AFIRMACIÓN INCORRECTA;Aprobar el Plan de Contabilidad Pública de la Comunidad Autónoma de Euskadi.;Determinar las cuentas anuales y demás documentación a rendir por las entidades y órganos del sector público de la Comunidad Autónoma, así como su estructura y modelos, de acuerdo, en lo referente a la contabilidad empresarial, a la normativa mercantil y al Plan General de Contabilidad.;Determinar el régimen de contabilidad aplicable a las distintas entidades del sector público de la Comunidad Autónoma en los casos en que nada se disponga al efecto en la normativa que las regule.;Aprobar las normas de contabilidad mediante las cuales se establezcan las reglas contables a las que habrán de sujetarse las entidades sometidas al régimen de contabilidad pública.;?;A;D;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;La competencia INCORRECTA atribuida al Consejero es 'Aprobar el Plan de Contabilidad Pública de la Comunidad Autónoma de Euskadi' — esta competencia de aprobación del Plan corresponde al Gobierno Vasco, no al Consejero de Hacienda. El Consejero sí puede aprobar normas de contabilidad (opción 4) y determinar las cuentas anuales a rendir (opción 2) y el régimen aplicable (opción 3).
Técnico Superior Administrativo (específico);420;tec-logistica-scm_5;Conforme a Gestión de la logística de la empresa: Planificación de la cadena de suministros. A la hora de clasificar los materiales por sus características logísticas: ELIJA LA AFIRMACIÓN CORRECTA;Son características de trasporte entre otros: las condiciones de expedición y el número de unidades por embalaje.;Son características de manejo entre otros: la resistencia y la rigidez.;Son características de almacenaje entre otros: el peso y la combustibilidad.;Son características del tráfico entre otros: las condiciones de expedición.;?;B;C;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;"Las características de manejo (handling) incluyen la resistencia y la rigidez del producto, así como el uso de contenedores, palés o ganchos. Las condiciones de expedición son características de transporte; la combustibilidad y el espacio son características de almacenaje."
Técnico Superior Administrativo (específico);451;tec-derecho-aplicado_1;Se han constituido las nuevas Cortes Generales elegidas tras las recientes Elecciones Generales cuyos resultados dan lugar a un parlamento bastante atomizado en el que no hay ninguna fuerza política que haya obtenido un número de escaños como para conseguir por sí sola la investidura de su persona candidata a presidir el Gobierno. De acuerdo con lo establecido en la propia Constitución, se da inicio a todo el proceso para la elección de la persona que presidirá el Gobierno. Tras infructuosas gestiones, se consigue proponer a una persona candidata, quien obtiene 133 votos a favor en la primera votación, y los mismos en la segunda, al no lograr más apoyos que los de su propio partido. La persona candidata propuesta para ser investida como Presidente/a del Gobierno no alcanza la mayoría exigida por el artículo 99.3 de la Constitución, ni en primera ni en segunda votación. En consecuencia:;Si transcurren más de dos meses desde la última votación de investidura, sin que otra candidatura obtenga la confianza del Congreso, la Presidencia del Congreso disolverá ambas cámaras.;Si transcurren más de dos meses desde la primera votación de investidura, sin que la misma u otra candidatura obtenga la confianza del Congreso, la Presidencia del Congreso disolverá ambas cámaras.;Si transcurre más de un mes desde la primera votación de investidura, sin que ninguna candidatura obtenga la confianza del Congreso, la Presidencia del Congreso disolverá ambas cámaras.;Ninguna de las anteriores opciones es correcta.;?;B;D;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Art. 99.5 CE: si transcurren dos meses desde la primera votación de investidura sin que ninguna candidatura obtenga la confianza del Congreso, la Presidencia del Congreso disolverá ambas cámaras. El cómputo se inicia desde la PRIMERA votación, no desde la última.
Técnico Superior Administrativo (específico);474;tec-derecho-aplicado_24;La Autoridad Vasca de Protección de Datos ha tenido conocimiento a través de la denuncia de un particular de ciertas infracciones en materia de protección de datos de particulares cometidas en el seno de un centro universitario vasco por parte de su director, por lo que decide iniciar las correspondientes actuaciones disciplinarias. Conforme establece la ley reguladora de la Autoridad Vasca de Protección de Datos, si la autoridad acuerda sancionar a ese centro universitario:;Su resolución debe comunicarse al Parlamento Vasco.;Su resolución debe comunicarse al Ararteko.;Su resolución debe comunicarse al Gobierno Vasco.;Ninguna de las anteriores opciones es correcta.;?;C;A;?;?;No;🟡 Solo UGT difiere — revisar;REVISAR: solo UGT tiene datos y difiere — verificar manualmente;Conforme a la Ley 2/2004 de la Autoridad Vasca de Protección de Datos (AVPD), cuando la AVPD sanciona a una entidad del sector público (como un centro universitario vasco), su resolución debe comunicarse al Gobierno Vasco para que adopte las medidas oportunas a través del departamento competente.
